StateFIPS,CountyFIPS,County,Year,Month,Date,LaborForce,Employment,Unemployment,Unemployment_rate,UI_Claims,Cases_RollingAvg,Deaths_RollingAvg,Hosp_Admissions_RollingAvg,UI_Policy
42,73,"Lawrence Co., PA",2020,1,1/1/2020,40790,37834,2956,7.2,,0,0,0,0
42,73,"Lawrence Co., PA",2020,2,2/1/2020,40881,37839,3042,7.4,,0,0,0,0
42,73,"Lawrence Co., PA",2020,3,3/1/2020,40708,37340,3368,8.3,,0.13,0,NA,0
42,73,"Lawrence Co., PA",2020,4,4/1/2020,39644,32349,7295,18.4,6358,2.59,0,NA,1
42,73,"Lawrence Co., PA",2020,5,5/1/2020,40589,34795,5794,14.3,2672,NA,0,NA,1
42,73,"Lawrence Co., PA",2020,6,6/1/2020,41023,35703,5320,13,2418,1.5,0,0,1
42,73,"Lawrence Co., PA",2020,7,7/1/2020,41295,35551,5744,13.9,502,7.06,0,0.06,1
42,73,"Lawrence Co., PA",2020,8,8/1/2020,39804,35529,4275,10.7,1165,4.66,0,0.26,1
42,73,"Lawrence Co., PA",2020,9,9/1/2020,39805,36797,3008,7.6,461,2.41,0,0.11,1
42,73,"Lawrence Co., PA",2020,10,10/1/2020,39482,36756,2726,6.9,634,11.53,0.2,0.85,1
42,73,"Lawrence Co., PA",2020,11,11/1/2020,39456,36512,2944,7.5,890,40,1.73,1.91,1
42,73,"Lawrence Co., PA",2020,12,12/1/2020,39305,35956,3349,8.5,1389,65.59,2.06,2.56,1
42,73,"Lawrence Co., PA",2021,1,1/1/2021,39623,35557,4066,10.3,1339,41.35,1.52,1.94,1
42,73,"Lawrence Co., PA",2021,2,2/1/2021,39948,35878,4070,10.2,814,20.6,1.5,0.97,1
42,73,"Lawrence Co., PA",2021,3,3/1/2021,39670,36053,3617,9.1,689,18.29,0,0.63,1
42,73,"Lawrence Co., PA",2021,4,4/1/2021,39184,36395,2789,7.1,723,21.99,0,1.2,1
42,73,"Lawrence Co., PA",2021,5,5/1/2021,39218,36699,2519,6.4,627,11.69,0,0.5,1
42,73,"Lawrence Co., PA",2021,6,6/1/2021,39811,37028,2783,7,627,3.85,0,0.26,1
42,73,"Lawrence Co., PA",2021,7,7/1/2021,39771,36720,3051,7.7,1691,3.9,0,0.39,1
42,73,"Lawrence Co., PA",2021,8,8/1/2021,39538,36559,2979,7.5,276,17.89,0,0.92,1
42,73,"Lawrence Co., PA",2021,9,9/1/2021,39028,36681,2347,6,461,40.29,0,0.11,1
42,73,"Lawrence Co., PA",2021,10,10/1/2021,38857,36707,2150,5.5,328,38.98,0,1.51,0
42,73,"Lawrence Co., PA",2021,11,11/1/2021,38367,36426,1941,5.1,487,53.38,1.52,2.29,0
42,73,"Lawrence Co., PA",2021,12,12/1/2021,37862,35912,1950,5.2,625,57.68,1.86,2.55,0
42,85,"Mercer Co., PA",2020,1,1/1/2020,48620,45783,2837,5.8,,0,0,0,0
42,85,"Mercer Co., PA",2020,2,2/1/2020,48748,45889,2859,5.9,,0,0,0,0
42,85,"Mercer Co., PA",2020,3,3/1/2020,48138,45014,3124,6.5,,0,0,NA,0
42,85,"Mercer Co., PA",2020,4,4/1/2020,46968,38666,8302,17.7,2785,2.6,0,NA,1
42,85,"Mercer Co., PA",2020,5,5/1/2020,48224,41348,6876,14.3,1113,2.11,0,NA,1
42,85,"Mercer Co., PA",2020,6,6/1/2020,48839,42498,6341,13,934,2.29,0,0,1
42,85,"Mercer Co., PA",2020,7,7/1/2020,49277,42628,6649,13.5,776,5.67,0,0.08,1
42,85,"Mercer Co., PA",2020,8,8/1/2020,47575,42658,4917,10.3,1797,7.54,0,0.63,1
42,85,"Mercer Co., PA",2020,9,9/1/2020,47648,44150,3498,7.3,681,6.28,0,0.46,1
42,85,"Mercer Co., PA",2020,10,10/1/2020,47509,44282,3227,6.8,985,10.23,0,0.61,1
42,85,"Mercer Co., PA",2020,11,11/1/2020,47715,44300,3415,7.2,1106,54.29,1.84,4.19,1
42,85,"Mercer Co., PA",2020,12,12/1/2020,47308,43546,3762,8,1565,98.71,3.12,6.23,1
42,85,"Mercer Co., PA",2021,1,1/1/2021,47270,42834,4436,9.4,1670,53.22,2.84,3.83,1
42,85,"Mercer Co., PA",2021,2,2/1/2021,47723,43413,4310,9,932,21.28,1.24,1.91,1
42,85,"Mercer Co., PA",2021,3,3/1/2021,47131,43243,3888,8.2,839,16.17,NA,0.91,1
42,85,"Mercer Co., PA",2021,4,4/1/2021,46202,42976,3226,7,991,19.75,0,1.1,1
42,85,"Mercer Co., PA",2021,5,5/1/2021,46184,43243,2941,6.4,861,15.91,0,1.58,1
42,85,"Mercer Co., PA",2021,6,6/1/2021,47175,43801,3374,7.2,861,5.41,0,0.88,1
42,85,"Mercer Co., PA",2021,7,7/1/2021,47450,43891,3559,7.5,1849,1.94,0,0.06,1
42,85,"Mercer Co., PA",2021,8,8/1/2021,47024,43513,3511,7.5,230,17.18,0,1.81,1
42,85,"Mercer Co., PA",2021,9,9/1/2021,46610,43858,2752,5.9,431,54.48,0,0.46,1
42,85,"Mercer Co., PA",2021,10,10/1/2021,46586,44054,2532,5.4,472,55.85,1.79,4.96,0
42,85,"Mercer Co., PA",2021,11,11/1/2021,45938,43699,2239,4.9,419,60.73,1.62,5.78,0
42,85,"Mercer Co., PA",2021,12,12/1/2021,45305,43236,2069,4.6,432,73.36,2.59,7.31,0
42,7,"Beaver Co., PA",2020,1,1/1/2020,83959,79314,4645,5.5,,0,0,0,0
42,7,"Beaver Co., PA",2020,2,2/1/2020,84385,79547,4838,5.7,,0,0,0,0
42,7,"Beaver Co., PA",2020,3,3/1/2020,83745,78474,5271,6.3,,1.41,0,NA,0
